feature	SF1	SF2	SF3	SF4	SF5	SF6	SF7	SF8	SF9	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF34	SF35	SF36	SF37	
P461.PWY._hexitol_fermentation_to_lactate._formate._ethanol_and_acetate	8.79433E-07	0.000435716	0.000459725	1.76865E-05	0.000418282	9.76476E-07	3.80971E-06	2.07968E-06	0.000704959	0.000642449	5.00775E-07	0.000641359	3.11587E-06	7.95273E-05	5.92032E-05	7.13448E-05	4.71325E-05	1.03172E-06	4.07302E-05	0.000204266	0.000112237	0	0.000253961	4.73485E-05	0.000315689	9.13316E-05	0.000536064	3.87382E-06	2.37646E-05	0.000171894	2.68736E-06	
PWY.5104._L.isoleucine_biosynthesis_IV	0	0	1.50045E-07	1.07926E-06	1.41129E-05	0	0	1.78228E-06	2.20716E-07	1.86916E-07	0	0	5.38309E-07	4.67645E-05	0	1.72369E-06	2.87028E-05	0	0	7.08555E-06	9.4218E-06	0	0	9.23081E-07	2.38933E-05	3.58878E-05	1.0537E-06	0	0	0	0	
PWY.6961._L.ascorbate_degradation_II_.bacterial._aerobic.	0	5.51032E-05	6.49983E-05	1.29558E-06	0.000171136	0	6.33662E-07	6.18301E-07	0.000397999	0.00038319	0	0.000363917	3.29733E-07	2.46991E-05	5.07931E-05	1.6647E-06	1.23764E-05	9.67962E-07	2.40465E-05	0.00014754	0.000035743	0	0.000489474	1.88109E-05	0.000205825	5.52737E-05	4.03133E-05	0	4.35504E-07	0	0	
PWY.5840._superpathway_of_menaquinol.7_biosynthesis	0	0.000269117	0.000280152	2.13931E-05	0.000225341	0	5.58441E-06	2.78754E-06	0.000256126	0.000277894	0	0.000229462	1.77748E-06	0.000119102	3.35715E-05	0.000169002	2.07994E-05	0	2.80134E-05	0.000102396	8.46836E-05	0	0.000292219	1.69207E-05	0.000155248	6.20837E-05	0.000263714	2.95259E-06	2.20308E-05	0.000125319	0	
PWY.6564._heparan_sulfate_biosynthesis	2.93432E-07	0	0	0	0	3.11562E-07	0	2.87086E-07	0	0	2.74543E-07	0	0	0	1.98754E-07	0	0	3.36856E-07	1.87725E-07	8.75841E-08	0	3.64264E-06	0	1.37397E-07	0	0	0	3.46489E-07	0	0	1.13809E-06	
PWY.6922._L.N.delta..acetylornithine_biosynthesis	2.80585E-06	0	0	6.30312E-06	1.67286E-05	2.00982E-06	0	0	2.85608E-07	2.58578E-06	0	0	1.24938E-06	2.31427E-05	6.43238E-07	1.12103E-05	3.44641E-07	0	5.91215E-07	1.85862E-05	1.58493E-05	0	0.000008329	3.00069E-06	2.57544E-05	1.99042E-05	3.69152E-05	0	1.07287E-06	2.12922E-05	0	
PWY4LZ.257._superpathway_of_fermentation_.Chlamydomonas_reinhardtii.	4.64679E-07	0.000304276	0.000334125	8.2586E-06	0.000289785	8.41595E-07	1.76812E-05	1.83025E-06	0.000259559	0.000292897	0	0.000499785	1.40417E-06	0.000121036	4.70991E-05	2.49805E-05	3.12501E-05	0	8.55279E-06	0.000138236	4.82393E-05	0	0.000391621	0.000021558	0.000152583	5.20658E-05	0.000319677	2.1366E-06	7.00535E-06	0.000141364	1.10675E-06	
PWY66.389._phytol_degradation	7.53873E-07	0.000256224	0.00028078	4.38326E-06	0.00016727	1.15116E-05	5.28548E-05	7.03851E-07	0.000283728	0.00033391	2.33595E-06	9.90878E-06	1.27111E-06	7.25303E-06	7.74095E-06	8.05676E-05	5.80305E-06	8.45725E-07	9.76429E-07	5.50483E-05	2.92806E-05	2.4472E-06	0.000467059	7.13415E-06	1.56635E-05	9.60543E-06	0.000282663	1.99368E-06	0.000252725	6.16557E-05	1.58545E-06	
PWY.6969._TCA_cycle_V_.2.oxoglutarate_synthase.	3.08795E-06	0.000354694	0.000381835	8.7061E-06	0.000265843	3.24634E-05	0.000178311	3.72531E-06	0.000312693	0.000347539	1.73157E-06	0.000325532	3.3665E-06	0.000302369	1.83804E-06	4.87664E-05	0.000025871	1.08659E-06	1.80359E-06	0.000114483	0.000069061	0	9.95632E-05	1.12149E-05	0.000166595	6.99619E-05	0.000324315	1.17703E-06	5.18408E-05	4.88483E-05	2.07029E-06	
PWY.5723._Rubisco_shunt	0	0.000445339	0.000460413	3.05017E-05	0.000414442	0	0	2.70768E-06	0.000454311	0.000452176	8.28768E-07	0.000554164	1.30647E-06	7.59916E-05	5.28724E-05	6.00466E-06	0.000028278	7.17332E-07	3.88091E-05	0.000216431	0.000103689	0	0.000433749	4.18302E-05	0.000397686	0.000115323	0.000459793	0	4.05877E-05	1.94189E-05	7.92151E-07	
P441.PWY._superpathway_of_N.acetylneuraminate_degradation	1.36742E-06	0.00026789	0.00029492	2.39544E-05	0.000297758	7.65594E-06	2.71746E-05	3.24161E-06	0.000249617	0.000226279	0	0.000415766	3.00026E-06	0.000192396	4.80201E-05	0.000266295	4.91179E-05	1.14219E-06	3.01322E-05	0.00019999	0.000174264	0	0.000338197	4.82746E-05	0.00026918	0.000112118	0.000277139	1.02169E-05	0.000109655	0.000311004	1.55471E-06	
PWY.7117._C4_photosynthetic_carbon_assimilation_cycle._PEPCK_type	0	0.000593295	0.000620967	3.30015E-05	0.000446063	8.63746E-06	4.17289E-05	2.15354E-06	0.000642962	0.00068288	9.87362E-06	0.000449222	3.00309E-06	8.02285E-05	4.94454E-05	0.000404716	2.91577E-05	9.27073E-07	3.77227E-05	0.000250026	0.000179385	0	0.000445731	3.76343E-05	0.000253733	9.95217E-05	0.000624721	1.19589E-05	0.000340159	0.000398306	1.5549E-06	
PWY.6309._L.tryptophan_degradation_XI_.mammalian._via_kynurenine.	3.07841E-07	0	0	2.97309E-07	0	1.07888E-07	0	2.11004E-07	0	0	1.17871E-07	0	1.26503E-07	0	9.29359E-08	0	8.6601E-08	1.64935E-07	1.69914E-07	8.53926E-08	0	1.63661E-06	0	1.03573E-07	0	9.47065E-08	0	2.20574E-07	0	8.39836E-07	7.22849E-07	
PWY.7316._dTDP.N.acetylviosamine_biosynthesis	1.30327E-06	0	0	0	0	1.2182E-06	5.21829E-06	9.55433E-07	0	2.91265E-07	0	0	2.16484E-06	7.99695E-05	0	5.34764E-07	3.54083E-07	0	2.41195E-06	2.80803E-05	1.00138E-05	0	0	0	1.07692E-05	0.000041963	1.83086E-05	0	0	0	0	
PWY.7831._ABH_and_Lewis_epitopes_biosynthesis_from_type_2_precursor_disaccharide	1.48634E-06	0	0	0	0	7.5236E-07	0	5.9672E-07	0	0	1.02421E-06	0	6.75301E-07	0	4.27841E-07	0	4.93763E-07	7.48064E-07	5.72589E-07	2.88689E-07	0	7.37445E-06	0	9.62185E-07	0	2.59732E-07	0	0	0	0	4.34649E-06	
PWY.5675._nitrate_reduction_V_.assimilatory.	2.99509E-07	0.00019312	0.000213597	7.03713E-06	0.000220033	0	7.26099E-07	1.07832E-06	2.99815E-05	7.38688E-05	7.03037E-07	0.000414844	3.36453E-07	4.04998E-05	2.76603E-05	4.39634E-05	2.78932E-05	2.01331E-06	2.04518E-05	0.000154844	5.62024E-05	0	0.000378354	0.000034399	0.00014677	4.26314E-05	0.000222091	0	2.81983E-06	6.81903E-05	0	
GLYCOL.GLYOXDEG.PWY._superpathway_of_glycol_metabolism_and_degradation	0	3.86288E-05	5.47678E-05	4.91004E-07	5.63822E-05	0	0	3.94061E-07	6.54931E-06	3.81397E-06	0	0.000142656	1.18005E-07	8.25321E-06	0.000025287	1.21721E-06	3.28137E-06	5.23852E-07	1.74419E-05	0.000031131	1.87343E-05	0	2.85439E-06	4.56637E-05	4.08707E-05	1.22018E-05	2.73794E-05	0	8.45092E-07	2.19911E-06	0	
PWY.7434._terminal_O.glycans_residues_modification_.via_type_2_precursor_disaccharide.	2.57945E-06	9.5803E-08	0	3.83728E-06	0	1.75069E-06	0	1.46487E-06	1.38503E-06	1.9557E-07	2.00004E-06	0	1.52101E-06	0	9.42529E-07	1.56278E-05	7.43387E-07	2.43423E-06	1.09848E-06	6.22069E-07	0	1.54181E-05	4.42614E-08	8.23341E-07	0	7.87576E-07	0	5.67694E-06	5.05424E-06	1.88817E-05	7.40898E-06	
PWY.8182._valproate_.beta..oxidation	3.68137E-07	0	0	9.8229E-07	0	8.28578E-07	0	4.4171E-07	0	0	7.46923E-07	0	0	0	0	0	0	0	0	0	0	1.91105E-06	0	0	0	0	0	0	0	0	1.46054E-06	
POLYISOPRENSYN.PWY._polyisoprenoid_biosynthesis_.E._coli.	2.6222E-06	0.000267544	0.000278879	2.69965E-05	0.000255065	5.41909E-06	2.86411E-05	1.11101E-06	0.000290661	0.000273957	1.06307E-06	0.000314352	1.7875E-06	6.00181E-05	0.000041006	9.37768E-05	3.47582E-05	7.10385E-07	2.19821E-05	0.00012372	9.86882E-05	0	0.000348219	1.95835E-05	0.000178341	6.67873E-05	0.000280574	9.06691E-06	0.000207472	0.000215321	1.12678E-06	
PWY.5897._superpathway_of_menaquinol.11_biosynthesis	4.06295E-06	0.000287714	0.000301596	3.20252E-05	0.000252108	0	4.9034E-06	2.90545E-06	0.000292589	0.000301661	9.37382E-07	0.000385476	1.74418E-06	0.000110637	3.46519E-05	0.000176794	3.14942E-05	5.05874E-07	2.94034E-05	0.000143252	0.000141443	0	0.000294607	1.73375E-05	0.000216826	9.19044E-05	0.000279893	3.04337E-06	0.000185479	0.000165327	0	
PWY.5898._superpathway_of_menaquinol.12_biosynthesis	4.06295E-06	0.000287714	0.000301596	3.20252E-05	0.000252108	0	4.9034E-06	2.90545E-06	0.000292589	0.000301661	9.37382E-07	0.000385476	1.74418E-06	0.000110637	3.46519E-05	0.000176794	3.14942E-05	5.05874E-07	2.94034E-05	0.000143252	0.000141443	0	0.000294607	1.73375E-05	0.000216826	9.19044E-05	0.000279893	3.04337E-06	0.000185479	0.000165327	0	
PWY.5899._superpathway_of_menaquinol.13_biosynthesis	4.06295E-06	0.000287714	0.000301596	3.20252E-05	0.000252108	0	4.9034E-06	2.90545E-06	0.000292589	0.000301661	9.37382E-07	0.000385476	1.74418E-06	0.000110637	3.46519E-05	0.000176794	3.14942E-05	5.05874E-07	2.94034E-05	0.000143252	0.000141443	0	0.000294607	1.73375E-05	0.000216826	9.19044E-05	0.000279893	3.04337E-06	0.000185479	0.000165327	0	
PWY.7013._.S..propane.1.2.diol_degradation	0	0.000860484	0.000922981	1.12787E-05	0.000546948	0	0	1.76184E-06	0.000788802	0.000830945	0	0	0	9.39749E-06	0.000102783	5.84992E-06	3.58858E-06	0	3.97908E-05	0.000164934	8.42694E-05	0	0.000177676	7.24201E-07	0.00013016	3.46935E-05	0.000897456	5.46109E-07	5.92008E-07	3.18475E-05	2.74905E-06	
PWY.5505._L.glutamate_and_L.glutamine_biosynthesis	1.69048E-06	5.14792E-07	6.73824E-07	1.29966E-05	0.000029571	0	7.99988E-07	0	1.68935E-05	4.7527E-06	7.32938E-07	0	3.81406E-07	4.56871E-05	4.91975E-06	1.35688E-05	3.21572E-05	0	3.19518E-07	3.01622E-05	1.46446E-05	0	0	9.62545E-07	0.000035362	0.00002505	3.01675E-06	5.94023E-07	1.74247E-06	0	0	
PWY.7948._4.oxopentanoate_degradation	1.94831E-07	0	0	8.7168E-07	0	4.50811E-07	0	2.08042E-07	0	0	6.16762E-07	0	0	0	0	0	0	0	0	0	0	1.21743E-06	0	0	0	0	0	0	0	0	8.76007E-07	
TCA.GLYOX.BYPASS._superpathway_of_glyoxylate_bypass_and_TCA	6.26926E-07	0.000362357	0.000388342	3.21766E-06	0.000292635	1.79728E-06	2.65279E-06	1.14551E-06	0.000339963	0.000371589	0	0.000374563	0	5.46237E-05	2.32777E-06	6.38119E-06	0.000022244	1.02537E-06	2.27892E-06	0.000129781	6.90235E-05	0	0.000118832	0.000014096	0.000183689	6.44508E-05	0.000350495	0	9.36404E-06	3.0684E-06	0	
PWY.5384._sucrose_degradation_IV_.sucrose_phosphorylase.	1.3945E-06	0.000548549	0.000555483	3.83086E-05	0.000407161	4.64326E-06	2.84007E-05	1.18674E-06	0.000459267	0.000491312	1.03071E-06	0.000511906	3.24751E-06	6.95949E-05	1.15376E-05	0.000335238	3.47131E-05	8.02233E-07	2.21225E-05	0.000169285	0.000135197	0	0.000308732	4.46592E-05	0.000269384	9.04969E-05	0.000638138	1.20161E-05	0.000146545	0.000321675	0	
PWY66.430._myristate_biosynthesis_.mitochondria.	0	0.000208682	0.000221644	3.78104E-06	0.000164186	0	3.49859E-06	0	0.00020267	7.45978E-05	0	3.76182E-05	0	0	0	4.94689E-06	3.11082E-06	6.04406E-07	0	0.000102538	4.22756E-05	0	2.58986E-05	1.09491E-05	0.000024798	5.86244E-06	7.40704E-05	0	8.1938E-07	0	0	
GLUTORN.PWY._L.ornithine_biosynthesis_I	1.02414E-05	0.000373766	0.000379468	3.13525E-05	0.000366488	1.43065E-05	7.51743E-05	1.95597E-06	0.000412022	0.000415665	3.39231E-07	0.000457113	3.15653E-06	0.000152852	4.04507E-05	0.000304411	7.96118E-05	9.13309E-07	3.34241E-05	0.000233856	0.000157248	0	0.000457425	7.09662E-05	0.000333108	0.000129336	0.000379796	6.64757E-06	0.000216231	0.000314292	1.02055E-06	
PWY.8190._L.glutamate_degradation_XI_.reductive_Stickland_reaction.	0	0	0	0	0	0	0	3.26785E-07	5.89213E-07	0	0	0	3.60965E-07	7.80416E-06	0	3.01344E-06	0	0	8.73522E-07	1.82207E-06	0	0	0	0	1.03502E-06	3.29669E-06	0	0	0	0.000012034	0	
GOLPDLCAT.PWY._superpathway_of_glycerol_degradation_to_1.3.propanediol	0	0.000530131	0.000546962	7.72364E-06	0.000232044	0	7.92199E-07	6.14236E-07	0.000686494	0.000645398	0	0	2.00858E-07	5.5273E-06	0.000075015	6.59847E-06	3.3693E-06	0	1.76615E-05	6.84323E-05	0.000044208	0	0.000084149	3.56087E-06	4.68454E-05	0.000010625	0.000530598	6.4441E-07	1.42209E-06	4.42234E-05	7.54575E-07	
PWY.7385._1.3.propanediol_biosynthesis_.engineered.	5.60076E-07	8.19589E-05	8.99074E-05	1.58829E-06	0.000177802	3.90999E-07	0	5.46285E-07	0	1.61363E-06	4.52795E-07	0	6.88059E-07	9.08648E-06	6.49292E-07	4.49411E-06	0.000005766	8.30238E-07	1.18248E-06	9.95686E-05	4.07077E-05	0	4.37632E-06	5.68049E-06	0.000113771	3.37063E-05	3.7445E-06	1.05941E-06	1.04076E-06	0	1.54217E-06	
PWY.6527._stachyose_degradation	2.36155E-06	0.000353545	0.000379591	4.73388E-05	0.000257503	4.35836E-06	2.31068E-05	1.10742E-06	0.000285885	0.000312843	7.38092E-07	0.000349527	5.97786E-06	0.000123622	5.29936E-05	0.000419964	0.000049049	1.76196E-06	3.54191E-05	0.000211415	0.000122226	0	0.00016892	0.000115241	0.000403913	0.000162624	0.000359715	7.42643E-06	0.000115289	0.000340852	0	
DENITRIFICATION.PWY._nitrate_reduction_I_.denitrification.	0	1.21404E-07	1.05247E-07	9.89448E-07	2.70136E-06	0	0	0	7.87145E-06	6.08844E-07	0	0	0	0	5.35059E-07	1.52137E-06	0	0	0	6.7509E-06	1.69112E-07	0	1.72132E-07	0	1.79819E-06	5.18038E-07	0	0	1.06702E-06	8.84397E-06	0	
PWY.5838._superpathway_of_menaquinol.8_biosynthesis_I	4.31094E-06	0.000283214	0.000296585	2.71583E-05	0.000253312	0	5.52337E-06	1.43165E-06	0.000289794	0.000297635	8.0361E-07	0.000387377	0	0.000115866	3.35715E-05	6.69829E-05	3.39547E-05	4.84232E-07	2.92894E-05	0.000136277	0.000123616	0	0.000294068	1.69207E-05	0.000219138	0.000092135	0.000274842	1.98874E-06	0.000183811	8.18517E-05	0	
TCA._TCA_cycle_I_.prokaryotic.	1.13355E-06	0.000366534	0.000398305	6.37979E-06	0.000281149	2.05903E-06	2.28603E-06	1.09547E-06	0.000312693	0.000348415	4.14785E-07	0.0003307	0	0.000101733	1.83846E-06	3.18184E-05	0.000025871	1.03521E-06	1.80359E-06	0.000117304	0.000069061	0	9.95632E-05	1.24305E-05	0.00018069	6.99619E-05	0.00034089	0	3.00443E-05	4.88483E-05	0	
PWY.7456._.beta...1.4..mannan_degradation	6.06258E-06	0	0	6.93351E-06	0	3.01099E-06	1.09803E-05	1.89131E-06	6.2526E-07	3.19313E-06	0	0	2.42314E-06	0.000166081	1.55864E-06	1.63298E-05	2.51336E-05	0	3.58763E-06	4.91499E-05	8.14198E-05	0	0	2.80132E-05	4.70765E-05	6.25802E-05	4.13939E-05	0	0	0	0	
HOMOSER.METSYN.PWY._L.methionine_biosynthesis_I	0	0.000341554	0.000353867	9.35607E-06	0.000261171	0	0	1.21276E-06	0.000389769	0.000399133	6.81406E-07	0.000479165	7.3715E-07	2.76194E-05	4.72878E-05	8.93124E-05	1.61613E-05	4.94178E-07	3.60227E-05	0.000145745	5.63423E-05	0	0.000156227	2.10722E-05	0.000137453	3.90908E-05	0.000327266	3.84343E-06	0.000247925	0.000130963	9.71738E-07	
METHGLYUT.PWY._superpathway_of_methylglyoxal_degradation	0	4.49931E-05	4.88095E-05	6.36878E-06	7.74896E-05	0	0	0	2.93816E-05	5.89137E-05	0	6.01098E-05	2.33443E-07	4.75417E-05	2.22479E-05	3.29672E-05	1.16374E-05	0	1.84601E-05	6.38791E-05	4.86451E-05	0	8.78009E-05	8.58046E-06	7.06137E-05	2.21405E-05	0.000126455	0	7.93228E-05	1.81487E-05	0	
PWY.6168._flavin_biosynthesis_III_.fungi.	5.53188E-06	0.000102196	0.000110823	2.39728E-05	0.000152324	3.96287E-06	4.19061E-06	3.50346E-06	0	7.14927E-06	0	0.000164894	0	0.000303242	0	1.59779E-05	3.35559E-05	0	4.5059E-06	0.000117281	0.000186019	0	0	3.84795E-05	0.000228497	0.000111311	6.77974E-05	0	5.73577E-06	0	0	
PWY.5188._tetrapyrrole_biosynthesis_I_.from_glutamate.	4.53461E-07	0.00027787	0.000291473	0.00005589	0.00028699	3.53929E-05	0.000185386	2.60821E-06	0.00029295	0.00031374	7.12674E-06	0.000401266	5.04382E-06	0.000117791	3.69528E-05	0.000428929	3.34988E-05	5.5646E-07	2.58812E-05	0.000159382	6.89349E-05	0	0.000325533	7.39069E-05	0.00044576	0.000135728	0.00027001	5.40467E-06	0.000157925	0.000294063	6.29495E-07	
FAO.PWY._fatty_acid_.beta..oxidation_I_.generic.	7.82533E-07	0.000421199	0.000432231	5.55164E-06	0.00041314	1.36457E-06	0	2.21731E-06	0.000391939	0.000430988	7.78064E-07	0.000547061	9.59811E-07	6.03517E-05	0.000078097	4.51141E-05	1.89874E-05	1.53295E-06	5.93693E-05	0.000191289	7.53463E-05	3.27336E-06	0.000784439	2.58967E-05	0.00033396	9.42753E-05	0.00041648	1.3928E-06	0.000462663	0	2.86774E-06	
HEME.BIOSYNTHESIS.II.1._heme_b_biosynthesis_V_.aerobic.	2.34894E-07	0.000262178	0.000281945	9.73675E-06	0.00023446	0	3.52873E-07	1.26765E-06	0.000294954	0.00029309	7.10308E-06	0.000419595	1.0377E-06	5.68795E-05	3.50722E-05	0.000267641	1.45304E-05	6.60218E-07	2.73666E-05	0.000117297	4.22739E-05	0	0.000284626	1.26931E-05	0.000262504	7.31087E-05	0.000274039	4.06514E-06	0.000180314	8.55342E-05	8.18641E-07	
PWY.5497._purine_nucleobases_degradation_II_.anaerobic.	1.14664E-06	0.000094294	0.000104295	1.50632E-05	0.00013142	0	0	9.08145E-07	2.3594E-06	7.64729E-06	0	4.80673E-05	0	2.43265E-05	2.69616E-06	3.82263E-05	1.60857E-05	0	2.18528E-06	5.13868E-05	1.92941E-05	0	5.96189E-05	5.00074E-06	0.000177234	5.50834E-05	1.46269E-05	0	5.8157E-06	4.71103E-06	0	
PWY.5972._stearate_biosynthesis_I_.animals.	3.17142E-06	0	0	3.56604E-06	3.22047E-07	1.75495E-06	0	1.31761E-06	7.46595E-08	0	1.91921E-06	0	2.00806E-06	8.65714E-06	1.44598E-06	3.13408E-07	2.32856E-06	2.19207E-06	2.71306E-06	1.62493E-06	2.51514E-06	3.3521E-06	7.72049E-07	1.33255E-06	0	9.14065E-07	8.70619E-07	9.84282E-07	1.35413E-06	1.79505E-07	2.63439E-06	
GLUCUROCAT.PWY._superpathway_of_.beta..D.glucuronosides_degradation	3.02562E-06	4.17921E-05	4.62315E-05	4.25949E-06	0.000111496	2.45118E-06	1.03916E-05	1.04907E-06	1.25787E-06	3.06655E-07	0	0.000174722	4.31073E-07	7.38122E-05	2.81316E-05	2.63967E-06	2.95042E-05	2.49884E-07	1.90636E-05	9.09159E-05	5.76656E-05	0	0.000266217	1.58826E-05	0.000137031	5.51155E-05	2.36369E-05	0	6.24647E-06	1.04907E-05	8.1134E-07	
PWY.7858._.5Z..dodecenoate_biosynthesis_II	0	0.00025283	0.000271003	1.28952E-05	0.00020324	0	1.3871E-06	4.33047E-07	0.000205563	0.000249043	7.45575E-06	0.000205949	1.06929E-06	3.65199E-05	4.36878E-05	0.000179079	1.51708E-05	4.01083E-07	3.63187E-05	0.00010089	4.75542E-05	0	0.000322042	9.62277E-06	0.000135083	4.05754E-05	0.000259669	4.30268E-06	0.000208199	0.000164487	8.81724E-07	
PWY.6606._guanosine_nucleotides_degradation_II	2.96408E-06	0.000148629	0.000172918	1.19009E-05	0.000313721	6.87185E-06	2.52133E-05	2.46412E-06	9.08138E-05	8.13196E-05	5.62833E-07	0.00037252	1.00411E-06	6.92667E-05	1.33425E-06	3.84341E-05	2.45154E-05	6.08298E-07	2.45511E-06	0.000150289	0.000076431	0	0.000613529	6.47374E-05	0.000210462	7.42148E-05	1.97008E-05	3.33755E-07	7.56117E-06	4.02752E-05	0	
PWY0.1479._tRNA_processing	0	0.000379581	0.000385706	1.51781E-05	0.000289856	0	0.000002839	1.39893E-06	0.000418689	0.00044594	7.74393E-06	0.000242131	2.08807E-06	9.73949E-05	4.42429E-05	0.000252711	2.89997E-05	1.61229E-06	3.11003E-05	0.000164169	9.54964E-05	0	0.000306067	3.34967E-05	0.000315257	9.53918E-05	0.000398936	6.52865E-06	0.000204294	0.000105608	0	
PWY.5861._superpathway_of_demethylmenaquinol.8_biosynthesis_I	3.08692E-06	0.000307986	0.000327579	2.12675E-05	0.000239186	0	3.69391E-06	1.0448E-06	0.000299248	0.000304379	1.72457E-06	0.00036865	0	8.35034E-05	3.10863E-05	4.98261E-05	2.56337E-05	4.08183E-07	2.88006E-05	0.000122574	9.71513E-05	0	0.000301201	1.28117E-05	0.000191998	7.86997E-05	0.000273117	1.85346E-06	0.000200088	6.07396E-05	0	
P4.PWY._superpathway_of_L.lysine._L.threonine_and_L.methionine_biosynthesis_I	0	0.000344071	0.000359577	1.37462E-05	0.000296357	0	0	1.4952E-06	0.000376549	0.000378016	0	0.000373517	1.3166E-06	5.02302E-05	4.51458E-05	3.38156E-05	2.86279E-05	5.42084E-07	3.71546E-05	0.000167304	9.14982E-05	0	0.000290883	2.45321E-05	0.000212866	6.93763E-05	0.000372534	5.86378E-06	0.00025243	1.94404E-05	0	
PPGPPMET.PWY._ppGpp_metabolism	1.52564E-06	0.000208191	0.000217899	7.29345E-06	0.000150706	3.03809E-05	0.000160281	2.57085E-06	0.00030237	0.000295967	8.67212E-06	0.000177356	2.56983E-06	0.000169322	4.18862E-05	0.00018787	1.31042E-05	1.7591E-07	3.21246E-05	7.52213E-05	3.35083E-05	0	0.000357422	7.57388E-06	8.07216E-05	4.13672E-05	0.000199774	2.2081E-06	0.000194153	7.97251E-05	1.33363E-06	
PRPP.PWY._superpathway_of_histidine._purine._and_pyrimidine_biosynthesis	0	0.000163386	0.000170198	1.17524E-05	0.000191045	0	0	2.52618E-06	0.000198749	0.000189734	1.59227E-06	7.77152E-05	1.80475E-06	9.76893E-05	0.000041082	2.10613E-05	1.34743E-05	0	3.14377E-05	0.000111748	7.75507E-05	0	0.000236182	1.13783E-05	0.000211177	8.87197E-05	0.00022429	3.01934E-06	7.77917E-06	5.47373E-05	0	
ASPASN.PWY._superpathway_of_L.aspartate_and_L.asparagine_biosynthesis	8.16488E-06	0.000562799	0.000584494	4.28761E-05	0.000455169	6.13702E-05	0.000342137	3.92819E-06	0.000517997	0.000550475	8.55652E-06	0.000572859	5.25155E-06	0.000220503	5.69991E-05	0.000356549	9.04646E-05	1.9857E-06	3.69838E-05	0.000215059	0.000320744	0	0.000637041	3.51101E-05	0.00036591	0.000157425	0.00053104	1.27739E-05	0.000306807	0.000348418	2.40264E-06	
POLYAMSYN.PWY._superpathway_of_polyamine_biosynthesis_I	5.46423E-07	0.0002921	0.000319799	1.48936E-05	0.000276232	2.9362E-06	1.82004E-05	6.51169E-07	0.000310314	0.000304998	0	0.000383914	1.50833E-06	4.34553E-05	4.28651E-06	2.83888E-05	2.62745E-05	9.09465E-07	1.38976E-05	0.000130413	5.62396E-05	0	0.00010792	4.38439E-05	0.000278707	7.69052E-05	0.000303035	1.24402E-06	2.49245E-06	4.39027E-07	0	
PWY.6284._superpathway_of_unsaturated_fatty_acids_biosynthesis_.E._coli.	0	9.02451E-05	0.000117177	1.11256E-05	0.000184304	0	2.35588E-06	1.75118E-06	3.64951E-05	8.96654E-06	0	0.000222691	0	3.57022E-05	5.60801E-05	7.08052E-05	2.61843E-05	5.68237E-07	4.19206E-05	0.000126222	7.00239E-05	0	4.28756E-05	1.21644E-05	0.000158716	4.93718E-05	1.01115E-05	7.32253E-06	1.14483E-05	0.000186284	9.23415E-07	
ANAEROFRUCAT.PWY._homolactic_fermentation	1.04145E-05	0.000348061	0.000358305	5.95137E-05	0.000303572	4.97002E-05	0.000211531	4.95367E-06	0.000330318	0.00036173	2.43555E-06	0.000418745	6.74941E-06	0.000232298	4.18675E-05	0.000367417	6.34088E-05	1.85894E-06	3.01543E-05	0.000172286	0.00021837	0	0.000290245	6.25243E-05	0.000286633	0.000138834	0.00035692	1.18287E-05	0.000157479	0.000471356	3.24298E-06	
PWY.6901._superpathway_of_glucose_and_xylose_degradation	8.42475E-06	0.000462391	0.00048314	3.51694E-05	0.000343305	1.74731E-05	6.16652E-05	3.45997E-06	0.000416409	0.000440512	1.63531E-06	0.000489787	3.60351E-06	0.000204047	4.27714E-05	5.58616E-05	5.99799E-05	1.82969E-06	3.12052E-05	0.000195267	0.000235084	0	0.000365592	5.15902E-05	0.000272294	0.000126457	0.000440727	8.47942E-06	4.13657E-05	4.33571E-05	2.16922E-06	
PWY0.1586._peptidoglycan_maturation_.meso.diaminopimelate_containing.	9.59601E-06	0.00127181	0.00134938	9.26212E-05	0.00108439	9.93821E-05	0.000546489	7.03844E-06	0.00122254	0.00121928	2.05316E-05	0.00154656	1.19802E-05	0.000433306	0.000169139	0.000856439	0.000142422	2.99472E-06	0.000106098	0.00060918	0.000374384	0	0.00131718	0.000145687	0.000872969	0.000295319	0.00120106	2.40415E-05	0.000655646	0.00103347	2.21391E-06	
NONOXIPENT.PWY._pentose_phosphate_pathway_.non.oxidative_branch._I	7.71322E-06	0.00123258	0.00126264	4.26853E-05	0.000694818	6.80623E-05	0.000368351	5.72561E-06	0.00120759	0.00125483	0.000010053	0.00101745	5.73542E-06	0.000553604	6.26907E-05	0.000369845	7.65526E-05	2.54019E-06	5.06812E-05	0.000397748	0.000389312	0	0.000658171	0.000245478	0.000567896	0.000220606	0.00103329	1.22013E-05	0.00016887	0.000417692	2.51912E-06	
