sample	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF1	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF2	SF34	SF35	SF36	SF37	SF3	SF4	SF5	SF6	SF7	SF8	SF9
HEME.BIOSYNTHESIS.II.1._heme_b_biosynthesis_V_.aerobic.	0.00029309	7.10E-06	0.000419595	1.04E-06	5.69E-05	3.51E-05	0.000267641	1.45E-05	6.60E-07	2.74E-05	2.35E-07	0.000117297	4.23E-05	0	0.000284626	1.27E-05	0.000262504	7.31E-05	0.000274039	0.000262178	4.07E-06	0.000180314	8.55E-05	8.19E-07	0.000281945	9.74E-06	0.00023446	0	3.53E-07	1.27E-06	0.000294954
HEME.BIOSYNTHESIS.II._heme_b_biosynthesis_I_.aerobic.	0.000252769	2.24E-07	0.000419595	1.79E-06	0.000143721	3.44E-05	0.000236443	1.45E-05	6.60E-07	3.40E-05	3.51E-07	0.000117297	5.62E-05	0	0.000292609	1.18E-05	0.000242051	7.00E-05	0.000264812	0.000257698	4.35E-06	0.000204046	0.000276469	8.19E-07	0.000281945	5.19E-05	0.000222466	1.87E-05	8.88E-05	2.46E-06	0.000240995
HEMESYN2.PWY._heme_b_biosynthesis_II_.oxygen.independent.	0.000378286	7.10E-06	0.000421573	1.67E-06	0.000122638	4.59E-05	0.000299272	1.67E-05	5.75E-07	3.09E-05	3.22E-07	0.000158733	5.80E-05	0	0.000363997	1.43E-05	0.000294683	8.95E-05	0.000310646	0.000292794	4.07E-06	0.000199234	0.00032152	9.44E-07	0.000309948	5.09E-05	0.000259587	1.84E-05	8.76E-05	2.46E-06	0.000359432
HEXITOLDEGSUPER.PWY._superpathway_of_hexitol_degradation_.bacteria.	1.15E-06	0	0.000400394	4.91E-07	7.91E-05	8.05E-07	5.50E-06	2.76E-05	1.24E-06	3.21E-06	9.79E-07	0.000129929	6.23E-05	0	9.53E-06	3.16E-05	0.000225636	7.81E-05	2.11E-05	9.37E-05	0	0	9.53E-06	0	0.00010473	2.55E-06	0.00022019	0	0	1.56E-06	0
HISDEG.PWY._L.histidine_degradation_I	0.000239624	0	0	2.62E-06	0.00044994	3.05E-05	3.36E-05	5.40E-05	0	2.46E-05	1.24E-05	4.78E-05	0.000235376	0	0.000275913	4.51E-07	3.58E-05	6.77E-05	0.000278903	0.000239574	6.34E-06	5.70E-05	0.000142866	7.04E-07	0.000256179	1.65E-05	8.94E-05	0.000129366	0.000739617	5.63E-06	0.000223198
HISTSYN.PWY._L.histidine_biosynthesis	0.000217158	5.44E-06	0.000237924	3.56E-06	0.000199177	2.94E-05	0.00041672	0.000107489	6.79E-07	2.57E-05	1.70E-05	0.000135429	0.00026768	0	0.000328206	7.09E-05	0.000200282	0.00010667	0.000218459	0.000198811	6.41E-06	0.000199651	0.000355989	0	0.000216817	6.41E-05	0.000172908	1.50E-05	6.99E-05	1.58E-06	0.000202392
HOMOSER.METSYN.PWY._L.methionine_biosynthesis_I	0.000399133	6.81E-07	0.000479165	7.37E-07	2.76E-05	4.73E-05	8.93E-05	1.62E-05	4.94E-07	3.60E-05	0	0.000145745	5.63E-05	0	0.000156227	2.11E-05	0.000137453	3.91E-05	0.000327266	0.000341554	3.84E-06	0.000247925	0.000130963	9.72E-07	0.000353867	9.36E-06	0.000261171	0	0	1.21E-06	0.000389769
HSERMETANA.PWY._L.methionine_biosynthesis_III	3.72E-06	8.51E-06	0	4.11E-06	0.000162275	6.03E-06	0.000379957	6.11E-05	4.12E-07	6.27E-06	9.91E-06	9.96E-05	0.000310071	0	1.74E-07	4.39E-05	0.000126074	0.000108135	2.72E-05	3.33E-06	1.39E-05	0.000287805	0.000474438	0	5.56E-07	3.79E-05	4.35E-05	2.02E-05	0.000100429	2.53E-06	3.15E-05
ILEUDEG.PWY._L.isoleucine_degradation_I	0	0	0	0	0	0	0	0	0	1.06E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN.PWY._L.isoleucine_biosynthesis_I_.from_threonine.	0.00055609	1.00E-05	0.000694133	6.86E-06	0.000313553	6.01E-05	0.000655001	0.000127874	2.22E-06	4.43E-05	1.27E-05	0.000345967	0.000383205	0	0.000425544	9.39E-05	0.000570444	0.000213219	0.000484988	0.000492772	2.39E-05	0.000169101	0.000743908	1.81E-06	0.000510777	9.83E-05	0.000533518	1.92E-05	9.31E-05	3.51E-06	0.00054923
KDO.NAGLIPASYN.PWY._superpathway_of_.Kdo.2.lipid_A_biosynthesis	3.50E-07	0	6.88E-05	0	5.62E-06	3.28E-05	4.97E-07	3.30E-06	0	1.46E-05	0	4.50E-05	1.66E-05	0	0	3.79E-06	5.84E-05	1.71E-05	3.42E-06	2.29E-05	0	0	0	0	2.57E-05	2.75E-06	7.18E-05	0	0	4.86E-07	0
KETOGLUCONMET.PWY._ketogluconate_metabolism	7.78E-05	0	9.95E-05	5.27E-07	9.69E-06	7.16E-06	1.19E-06	5.63E-06	2.94E-07	2.47E-05	1.05E-07	6.45E-05	2.25E-05	0	0.000420552	6.67E-06	0.000141951	3.67E-05	7.01E-05	7.32E-05	0	0	8.37E-06	0	7.54E-05	2.23E-06	0.00018649	2.57E-06	9.90E-06	6.51E-07	9.84E-05
LACTOSECAT.PWY._lactose_and_galactose_degradation_I	3.40E-06	0	0	1.57E-06	2.40E-05	1.48E-05	9.09E-05	5.20E-06	0	1.21E-05	0	3.12E-05	4.96E-05	0	3.24E-07	7.68E-05	0.000270591	9.01E-05	8.91E-07	4.81E-06	1.76E-05	9.47E-05	0.000594137	0	3.98E-07	1.95E-05	5.18E-06	0	1.39E-06	2.60E-07	1.70E-05
LIPA.CORESYN.PWY._lipid_A.core_biosynthesis_.E._coli_K.12.	0	0	0.000127809	0	1.35E-05	0	6.52E-07	1.82E-06	0	0	0	0	0	0	0	0	1.02E-06	3.43E-07	0	1.39E-05	0	0	0	0	1.79E-05	0	4.35E-05	0	0	0	0
LIPASYN.PWY._phospholipases	0.000367411	2.94E-06	0	3.96E-06	2.41E-05	4.04E-05	8.56E-05	8.72E-06	6.83E-06	3.32E-05	4.52E-06	9.08E-05	3.65E-05	3.22E-05	0.000525114	1.17E-05	0.000132335	3.46E-05	0	0.000286487	3.01E-06	0.000151736	9.74E-06	1.44E-05	0.000287479	6.33E-06	0.000227302	3.30E-06	6.13E-06	3.23E-06	0
LPSSYN.PWY._superpathway_of_lipopolysaccharide_biosynthesis	0	0	0.000125809	0	1.35E-05	0	1.11E-06	3.81E-06	0	0	0	0	0	0	0	0	4.41E-06	1.48E-06	0	3.57E-05	0	0	0	0	4.31E-05	0	9.03E-05	0	0	0	0
MET.SAM.PWY._superpathway_of_S.adenosyl.L.methionine_biosynthesis	0.000474381	1.26E-06	0.000513591	1.34E-06	5.12E-05	5.36E-05	0.000151401	2.77E-05	3.49E-07	4.02E-05	0	0.000192054	9.48E-05	0	0.000233733	3.35E-05	0.000219496	6.55E-05	0.000401977	0.000410568	5.06E-06	0.000294678	0.000177072	1.28E-06	0.000425167	1.60E-05	0.000327001	0	0	1.97E-06	0.000476413
METH.ACETATE.PWY._methanogenesis_from_acetate	0	0	0	0	0	0	0	6.81E-06	0	0	0	0	0	0	0	0	9.46E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHANOGENESIS.PWY._methanogenesis_from_H2_and_CO2	0	0	0	0	1.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-07	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT.PWY._superpathway_of_methylglyoxal_degradation	5.89E-05	0	6.01E-05	2.33E-07	4.75E-05	2.22E-05	3.30E-05	1.16E-05	0	1.85E-05	0	6.39E-05	4.86E-05	0	8.78E-05	8.58E-06	7.06E-05	2.21E-05	0.000126455	4.50E-05	0	7.93E-05	1.81E-05	0	4.88E-05	6.37E-06	7.75E-05	0	0	0	2.94E-05
METSYN.PWY._superpathway_of_L.homoserine_and_L.methionine_biosynthesis	0.000484356	1.13E-06	0.000562535	1.21E-06	4.60E-05	5.67E-05	0.000140425	2.57E-05	3.13E-07	4.23E-05	0	0.000191485	8.72E-05	0	0.000231668	3.17E-05	0.000201778	6.00E-05	0.000410539	0.000416454	5.92E-06	0.000337318	0.00019767	1.36E-06	0.000431051	1.51E-05	0.000332111	0	0	1.83E-06	0.000482639
NAD.BIOSYNTHESIS.II._NAD_salvage_pathway_III_.to_nicotinamide_riboside.	0.000170702	1.88E-07	7.58E-05	9.19E-07	1.79E-05	4.03E-05	7.16E-05	5.92E-06	1.93E-07	2.62E-05	2.71E-06	7.77E-05	2.63E-05	1.80E-06	0.000283492	9.21E-06	5.24E-05	1.60E-05	9.89E-05	8.60E-05	5.56E-06	8.08E-05	0.000126648	8.66E-07	8.99E-05	7.18E-06	6.58E-05	2.16E-07	0	1.06E-06	0.000198499
NADSYN.PWY._NAD_de_novo_biosynthesis_II_.from_tryptophan.	0	0	0	0	0	0	3.30E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN.PWY._lipid_IVA_biosynthesis_.E._coli.	0.000315615	7.26E-06	0.000346666	1.76E-06	9.65E-05	3.90E-05	0.000211017	3.53E-05	5.96E-07	2.45E-05	4.16E-06	0.000140505	0.000102271	0	0.000289739	1.27E-05	0.000202498	7.84E-05	0.000313664	0.000290799	2.42E-06	0.00017094	9.02E-05	5.41E-07	0.000320448	1.58E-05	0.000248741	4.62E-05	0.000249476	3.33E-06	0.0003218
NONMEVIPP.PWY._methylerythritol_phosphate_pathway_I	0.000310142	6.99E-06	0.000343234	6.92E-06	0.000530288	4.38E-05	0.000386239	0.000132636	1.64E-06	2.88E-05	2.19E-05	0.000174045	0.000301971	0	0.000357142	8.47E-05	0.000386936	0.000181783	0.000328226	0.000317971	5.90E-06	0.00016855	0.000296337	0	0.000333978	6.36E-05	0.00026914	0.000108606	0.000596712	5.10E-06	0.00030218
NONOXIPENT.PWY._pentose_phosphate_pathway_.non.oxidative_branch._I	0.00125483	1.01E-05	0.00101745	5.74E-06	0.000553604	6.27E-05	0.000369845	7.66E-05	2.54E-06	5.07E-05	7.71E-06	0.000397748	0.000389312	0	0.000658171	0.000245478	0.000567896	0.000220606	0.00103329	0.00123258	1.22E-05	0.00016887	0.000417692	2.52E-06	0.00126264	4.27E-05	0.000694818	6.81E-05	0.000368351	5.73E-06	0.00120759
OANTIGEN.PWY._O.antigen_building_blocks_biosynthesis_.E._coli.	1.10E-05	2.14E-06	0.000241277	6.43E-06	0.000202568	5.60E-06	0.000252039	7.01E-05	7.24E-07	2.40E-05	3.56E-06	0.000145413	0.000188978	0	9.92E-05	8.75E-05	0.000174511	0.00015836	0.000209972	5.85E-05	1.11E-05	0.000107253	0.00035606	0	5.51E-05	6.33E-05	0.000169705	4.51E-05	0.000254735	3.11E-06	5.18E-05
ORNARGDEG.PWY._superpathway_of_L.arginine_and_L.ornithine_degradation	0.000256568	0	0	0	0	7.48E-07	1.44E-07	7.08E-06	3.98E-07	0	0	7.67E-05	2.85E-05	0	0.000312671	7.53E-07	1.83E-05	4.80E-06	0.000243388	0.000222379	0	0	0	0	0.000238735	0	0.0001404	0	0	0	0.000309991
ORNDEG.PWY._superpathway_of_ornithine_degradation	0.000389034	0	0.000544986	7.42E-07	3.95E-05	3.70E-05	3.34E-06	1.97E-05	8.29E-07	2.23E-05	3.83E-07	0.000187887	6.57E-05	0	0.000347014	3.80E-05	0.000234008	6.30E-05	0.000430229	0.000294402	0	3.11E-06	0	6.78E-07	0.000333614	4.96E-06	0.000360167	0	1.45E-06	8.11E-07	0.000395753
P101.PWY._ectoine_biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54E-07	0	0	0	7.51E-07	0	0	0	0	0
P105.PWY._TCA_cycle_IV_.2.oxoglutarate_decarboxylase.	0.000358096	0	0.000289888	0	3.85E-05	1.81E-06	6.03E-06	2.10E-05	1.14E-06	1.58E-06	0	0.000105616	5.91E-05	0	9.94E-05	1.03E-05	0.00014085	4.96E-05	0.000326494	0.0003499	0	1.61E-05	1.51E-05	0	0.000374718	5.11E-06	0.000242231	8.46E-06	3.63E-05	1.16E-06	0.000328027
P108.PWY._pyruvate_fermentation_to_propanoate_I	0.000248232	0	0	8.43E-07	4.34E-05	1.35E-06	3.58E-06	8.15E-06	2.38E-07	2.40E-06	0	6.66E-05	4.79E-05	0	0.000128263	0	5.18E-05	3.82E-05	0.000227516	0.000167161	0	5.35E-06	2.19E-06	1.17E-06	0.000172313	3.22E-06	3.04E-05	7.30E-06	3.14E-05	9.03E-07	0.000265827
P122.PWY._heterolactic_fermentation	0.000112627	0	0.000116799	9.74E-07	2.20E-05	7.54E-06	5.57E-05	1.78E-06	0	1.88E-05	2.27E-07	8.42E-05	3.29E-05	0	0.000169793	3.88E-06	4.91E-05	1.37E-05	0.000123721	0.000116361	5.37E-06	1.35E-05	0.000109437	0	0.000135089	7.67E-06	0.00010138	1.08E-07	0	2.59E-07	0.000125945
P124.PWY._Bifidobacterium_shunt	2.22E-07	0	0	0	0	0	1.48E-05	0	0	5.84E-07	0	4.56E-06	4.92E-06	0	0	0	6.82E-06	6.58E-06	0	3.47E-06	5.99E-06	1.37E-05	3.22E-05	0	0	6.85E-06	0	0	0	0	1.31E-06
P125.PWY._superpathway_of_.R.R..butanediol_biosynthesis	3.63E-06	0	0	0	8.98E-07	6.39E-07	7.21E-05	0	0	1.76E-06	0	3.94E-06	8.40E-06	0	9.04E-07	0	1.23E-06	1.43E-06	2.19E-07	9.44E-07	1.07E-05	3.52E-05	0.000284741	0	0	1.24E-05	3.97E-07	0	3.95E-07	1.72E-07	1.28E-05
P161.PWY._acetylene_degradation_.anaerobic.	0.000396734	0	0.000390603	1.86E-06	0.000188678	4.64E-05	2.52E-05	3.01E-05	0	3.13E-05	3.64E-07	0.000249928	0.00010555	0	0.000425545	3.48E-05	0.000135708	4.63E-05	0.000464351	0.00041574	2.97E-06	0.000316145	0.000164423	9.37E-07	0.000462176	6.80E-06	0.000324166	2.34E-05	0.000129683	2.37E-06	0.000333454
P163.PWY._L.lysine_fermentation_to_acetate_and_butanoate	0	0	0	0	5.05E-06	0	1.30E-06	0	0	0	0	7.46E-07	0	0	0	0	7.84E-07	0	0	0	0	0	4.71E-06	0	0	0	0	0	0	0	0
P164.PWY._purine_nucleobases_degradation_I_.anaerobic.	0	0	0	0	6.58E-05	2.62E-06	2.22E-05	1.79E-05	0	2.34E-06	0	3.17E-05	1.62E-05	0	1.28E-06	4.18E-06	0.000163132	5.96E-05	1.12E-06	8.02E-07	0	1.96E-05	3.75E-05	0	1.22E-06	1.66E-05	7.02E-06	6.34E-05	0.000341929	2.03E-06	1.80E-05
P185.PWY._formaldehyde_assimilation_III_.dihydroxyacetone_cycle.	0.000336509	0	0	0	3.95E-06	4.87E-05	8.35E-06	3.15E-06	0	2.08E-05	8.17E-07	8.32E-05	5.18E-05	0	0.000363822	0	5.86E-05	1.29E-05	0.000324782	0.000345348	1.35E-06	0.000184389	7.49E-05	6.27E-07	0.000362087	1.28E-05	0.000254316	4.48E-06	1.17E-05	9.30E-07	0.000365251
P221.PWY._octane_oxidation	0.000239175	0	9.10E-06	4.09E-07	3.63E-06	2.10E-06	2.80E-05	1.75E-06	0	2.52E-08	0	3.50E-05	1.81E-05	0	0.00029976	6.65E-06	1.30E-05	6.05E-06	0.000229585	0.000213037	0	7.89E-08	1.73E-05	0	0.000229811	2.21E-06	0.000128099	0	4.76E-07	2.72E-08	0.00022265
P23.PWY._reductive_TCA_cycle_I	0	0	0	1.27E-06	3.64E-05	0	7.77E-06	4.38E-06	0	0	0	1.48E-05	0	0	0	0	3.27E-05	3.38E-05	7.40E-07	0	0	0	3.86E-05	0	1.04E-07	4.85E-06	0	5.72E-06	2.27E-05	1.74E-06	4.23E-06
P4.PWY._superpathway_of_L.lysine._L.threonine_and_L.methionine_biosynthesis_I	0.000378016	0	0.000373517	1.32E-06	5.02E-05	4.51E-05	3.38E-05	2.86E-05	5.42E-07	3.72E-05	0	0.000167304	9.15E-05	0	0.000290883	2.45E-05	0.000212866	6.94E-05	0.000372534	0.000344071	5.86E-06	0.00025243	1.94E-05	0	0.000359577	1.37E-05	0.000296357	0	0	1.50E-06	0.000376549
P41.PWY._pyruvate_fermentation_to_acetate_and_.S..lactate_I	0.000360538	4.03E-06	0.000287134	1.05E-05	0.000176384	3.27E-05	0.000426892	3.68E-05	6.82E-07	2.00E-05	4.86E-06	0.000131397	0.000153799	0	9.10E-05	4.89E-05	0.000279554	0.000143608	0.000356677	0.000311573	2.03E-05	9.49E-05	0.000520339	3.27E-06	0.000311233	5.80E-05	0.000215401	3.04E-05	0.00010996	5.43E-06	0.000310237
P42.PWY._incomplete_reductive_TCA_cycle	3.06E-06	0	0	1.47E-06	0.000147819	7.36E-06	0.000175786	6.00E-06	2.61E-07	5.78E-06	1.61E-06	5.63E-05	2.18E-05	0	0	4.07E-06	0.000106315	4.39E-05	1.16E-06	6.58E-06	1.59E-06	5.05E-06	8.31E-05	1.01E-06	1.06E-06	1.04E-05	6.56E-05	3.39E-05	0.000164327	1.94E-06	3.55E-05
P441.PWY._superpathway_of_N.acetylneuraminate_degradation	0.000226279	0	0.000415766	3.00E-06	0.000192396	4.80E-05	0.000266295	4.91E-05	1.14E-06	3.01E-05	1.37E-06	0.00019999	0.000174264	0	0.000338197	4.83E-05	0.00026918	0.000112118	0.000277139	0.00026789	1.02E-05	0.000109655	0.000311004	1.55E-06	0.00029492	2.40E-05	0.000297758	7.66E-06	2.72E-05	3.24E-06	0.000249617
P461.PWY._hexitol_fermentation_to_lactate._formate._ethanol_and_acetate	0.000642449	5.01E-07	0.000641359	3.12E-06	7.95E-05	5.92E-05	7.13E-05	4.71E-05	1.03E-06	4.07E-05	8.79E-07	0.000204266	0.000112237	0	0.000253961	4.73E-05	0.000315689	9.13E-05	0.000536064	0.000435716	3.87E-06	2.38E-05	0.000171894	2.69E-06	0.000459725	1.77E-05	0.000418282	9.76E-07	3.81E-06	2.08E-06	0.000704959
P562.PWY._myo.inositol_degradation_I	3.40E-07	0	0	0	0	0	0	0	0	3.41E-07	0	0	0	0	0	0	0	0	0	5.71E-06	0	1.22E-06	0	0	4.37E-07	0	0	0	0	0	0
P621.PWY._nylon.6_oligomer_degradation	0	0	0	0	0	3.57E-07	0	0	0	0	0	4.10E-06	4.17E-06	0	0	0	0	0	0	3.47E-06	0	0	0	0	3.38E-07	1.09E-06	3.13E-07	0	1.87E-07	0	4.92E-07
PANTO.PWY._phosphopantothenate_biosynthesis_I	0.000303226	0	0.000345362	5.10E-06	0.000472773	3.77E-05	6.65E-05	9.83E-05	1.13E-06	3.55E-05	1.69E-05	0.000187597	0.0003175	0	0.000370439	6.67E-05	0.000231203	0.000136575	0.000340253	0.000310275	2.73E-06	0.000189857	0.000131211	6.92E-07	0.000315483	3.11E-05	0.000268403	7.14E-05	0.00039732	3.85E-06	0.000321315
PANTOSYN.PWY._superpathway_of_coenzyme_A_biosynthesis_I_.bacteria.	0.000246121	0	0.000254419	6.58E-06	0.00049466	4.39E-05	0.000123902	0.000102227	8.76E-07	3.52E-05	1.72E-05	0.000177933	0.000287641	0	0.000325496	6.36E-05	0.000253531	0.000138396	0.000251569	0.000241989	4.29E-06	2.51E-05	0.000223405	8.29E-07	0.000245122	4.57E-05	0.000247566	7.29E-05	0.000398053	3.92E-06	0.000265507
PENTOSE.P.PWY._pentose_phosphate_pathway	0.000542233	9.78E-06	0.000586509	4.24E-06	0.000246354	3.80E-05	0.00028519	5.75E-05	1.57E-06	3.31E-05	8.05E-06	0.000225836	0.000275454	0	0.000420473	4.34E-05	0.000262672	0.00012576	0.000569199	0.000620155	1.28E-05	0.000184011	0.000384828	1.80E-06	0.000665391	3.79E-05	0.000410507	3.93E-05	0.000208251	3.79E-06	0.00051505
PEPTIDOGLYCANSYN.PWY._peptidoglycan_biosynthesis_I_.meso.diaminopimelate_containing.	0.00038638	7.46E-06	0.000409853	7.26E-06	0.0005911	4.69E-05	0.000655379	0.000137876	1.04E-06	3.48E-05	2.19E-05	0.000246593	0.000317325	0	0.000352447	9.09E-05	0.000475993	0.000207117	0.000358617	0.000345992	1.87E-05	0.000215527	0.000657736	0	0.000353063	9.05E-05	0.00031913	0.000116259	0.00064366	5.68E-06	0.000421072
PHOSLIPSYN.PWY._superpathway_of_phospholipid_biosynthesis_I_.bacteria.	0.000369358	1.08E-05	0.000416866	4.53E-06	0.000243072	4.43E-05	0.000343398	7.70E-05	2.27E-06	3.26E-05	6.07E-06	0.000209857	0.000198954	0	0.000402625	8.32E-05	0.00038416	0.000157465	0.000355935	0.000387059	8.73E-06	0.000216365	0.000372061	1.37E-06	0.000421419	4.46E-05	0.000367449	5.52E-05	0.000276349	3.88E-06	0.000420366
PHOTOALL.PWY._oxygenic_photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40E-06	0	0	0	1.80E-06	0	0	0	0	0
POLYAMINSYN3.PWY._superpathway_of_polyamine_biosynthesis_II	0	0	0	6.85E-07	3.54E-05	1.28E-07	1.28E-06	2.13E-06	0	1.34E-07	5.21E-07	3.71E-06	1.02E-05	0	0	1.84E-07	8.97E-06	2.06E-05	0	0	2.77E-07	0	0	0	0	5.19E-07	4.36E-07	2.03E-06	1.36E-05	1.59E-07	0
POLYAMSYN.PWY._superpathway_of_polyamine_biosynthesis_I	0.000304998	0	0.000383914	1.51E-06	4.35E-05	4.29E-06	2.84E-05	2.63E-05	9.09E-07	1.39E-05	5.46E-07	0.000130413	5.62E-05	0	0.00010792	4.38E-05	0.000278707	7.69E-05	0.000303035	0.0002921	1.24E-06	2.49E-06	4.39E-07	0	0.000319799	1.49E-05	0.000276232	2.94E-06	1.82E-05	6.51E-07	0.000310314
POLYISOPRENSYN.PWY._polyisoprenoid_biosynthesis_.E._coli.	0.000273957	1.06E-06	0.000314352	1.79E-06	6.00E-05	4.10E-05	9.38E-05	3.48E-05	7.10E-07	2.20E-05	2.62E-06	0.00012372	9.87E-05	0	0.000348219	1.96E-05	0.000178341	6.68E-05	0.000280574	0.000267544	9.07E-06	0.000207472	0.000215321	1.13E-06	0.000278879	2.70E-05	0.000255065	5.42E-06	2.86E-05	1.11E-06	0.000290661
PPGPPMET.PWY._ppGpp_metabolism	0.000295967	8.67E-06	0.000177356	2.57E-06	0.000169322	4.19E-05	0.00018787	1.31E-05	1.76E-07	3.21E-05	1.53E-06	7.52E-05	3.35E-05	0	0.000357422	7.57E-06	8.07E-05	4.14E-05	0.000199774	0.000208191	2.21E-06	0.000194153	7.97E-05	1.33E-06	0.000217899	7.29E-06	0.000150706	3.04E-05	0.000160281	2.57E-06	0.00030237
PROPFERM.PWY._superpathway_of_L.alanine_fermentation_.Stickland_reaction.	0	0	0	0	0	0	0	9.53E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY._protocatechuate_degradation_II_.ortho.cleavage_pathway.	0.000227144	0	0	0	0	8.15E-07	2.01E-05	9.13E-07	0	1.86E-07	0	2.70E-05	1.69E-05	0	6.25E-05	0	1.42E-05	3.99E-06	0.000301252	0.000240544	0	1.47E-06	3.38E-06	0	0.000254065	2.79E-06	8.22E-05	0	0	0	0.00019459
PRPP.PWY._superpathway_of_histidine._purine._and_pyrimidine_biosynthesis	0.000189734	1.59E-06	7.77E-05	1.80E-06	9.77E-05	4.11E-05	2.11E-05	1.35E-05	0	3.14E-05	0	0.000111748	7.76E-05	0	0.000236182	1.14E-05	0.000211177	8.87E-05	0.00022429	0.000163386	3.02E-06	7.78E-06	5.47E-05	0	0.000170198	1.18E-05	0.000191045	0	0	2.53E-06	0.000198749
PWY.101._photosynthesis_light_reactions	0	0	0	0	0	0	0	0	0	0	0	0	2.11E-08	0	0	0	0	0	0	0	0	4.36E-06	3.04E-07	0	0	1.03E-05	0	0	0	0	0
PWY.1042._glycolysis_IV	0.000801523	1.15E-05	0.00058063	9.63E-06	0.000510841	7.74E-05	0.000580018	0.00015079	2.02E-06	4.31E-05	2.01E-05	0.000287081	0.000380192	0	0.000398941	9.94E-05	0.000504431	0.000226526	0.000782867	0.000760718	2.00E-05	0.000205644	0.000613703	3.23E-06	0.000807962	9.33E-05	0.000519299	0.000120179	0.00065493	7.08E-06	0.000690963
PWY.1269._CMP.3.deoxy.D.manno.octulosonate_biosynthesis	0.000274169	7.26E-06	0.00046947	1.50E-06	0.000110977	3.81E-05	0.000185282	6.01E-05	0	2.80E-05	7.53E-06	0.000167665	0.000148434	0	0.000267781	2.96E-05	0.000237764	9.97E-05	0.000297074	0.000271407	2.11E-06	0.000144489	5.79E-05	6.94E-07	0.00030207	1.39E-05	0.000252911	2.04E-05	0.000123289	2.77E-06	0.000255777
PWY.1622._formaldehyde_assimilation_I_.serine_pathway.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.181._photorespiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30E-06	0	0	0	0	0	0	8.32E-07	0	0	0	0	0	0	0	0
PWY.1861._formaldehyde_assimilation_II_.assimilatory_RuMP_Cycle.	0.00021532	8.64E-07	0.000445458	0	4.08E-05	0	3.20E-06	2.26E-05	6.21E-07	1.78E-06	0	2.97E-05	1.77E-05	0	1.05E-05	0	0.000240204	7.06E-05	0.000152184	0.000107857	0	2.83E-06	4.62E-05	0	0.000108032	5.25E-06	0.000153503	1.54E-06	2.87E-06	2.55E-06	0.000327157
PWY.2201._folate_transformations_I	0	5.51E-07	0	6.43E-07	0	3.96E-07	1.23E-05	5.58E-07	2.85E-07	6.54E-07	1.40E-06	2.49E-07	0	0	0	5.96E-07	0	5.24E-07	0	0	7.26E-07	1.39E-05	0	0	0	8.75E-07	0	7.75E-07	0	4.61E-07	0
PWY.2221._Entner.Doudoroff_pathway_III_.semi.phosphorylative.	0	0	0	0	5.99E-06	0	0	0	0	0	0	4.66E-06	5.60E-06	0	4.91E-05	0	0	0	8.97E-06	0	0	0	0	0	0	0	0	0	0	0	0
PWY.241._C4_photosynthetic_carbon_assimilation_cycle._NADP.ME_type	3.25E-06	0	0	2.69E-06	7.81E-05	2.06E-06	2.53E-05	2.62E-05	5.91E-07	8.14E-06	0	7.69E-05	0.000145919	0	1.83E-07	1.84E-05	6.96E-05	7.39E-05	3.75E-05	6.11E-07	1.55E-06	1.22E-05	4.72E-05	0	2.15E-07	1.59E-05	3.19E-05	8.90E-06	4.38E-05	2.12E-06	1.11E-05
PWY.2941._L.lysine_biosynthesis_II	1.28E-05	1.54E-06	0	5.61E-06	0.00020418	9.11E-06	0.000397075	2.64E-05	0	1.45E-05	1.01E-05	7.84E-05	0.000248053	0	2.58E-05	6.30E-05	5.00E-05	9.55E-05	6.01E-05	2.12E-05	1.55E-05	0.000240217	0.000460893	0	1.78E-06	4.31E-05	7.36E-06	1.08E-05	3.49E-05	1.67E-06	4.30E-05
PWY.2942._L.lysine_biosynthesis_III	0.000430494	8.58E-06	0.000441142	5.85E-06	0.000462089	4.35E-05	0.00047494	0.000105227	6.23E-07	3.86E-05	1.77E-05	0.000214663	0.000282159	0	0.000422399	8.66E-05	0.000335773	0.000158589	0.000485587	0.000377773	1.62E-05	0.000236443	0.000493247	0	0.000393342	6.70E-05	0.000343432	9.43E-05	0.000520307	4.79E-06	0.000450776
