	SF1	SF2	SF3	SF4	SF6	SF7	SF8	SF11	SF12	SF13	SF14	SF17	SF18	SF19	SF20	SF22	SF23	SF24	SF25	SF34	SF35	SF36	SF37
PWY.5505._L.glutamate_and_L.glutamine_biosynthesis	1.69E-06	5.15E-07	6.74E-07	1.30E-05	0	8.00E-07	0	7.33E-07	0	3.81E-07	4.57E-05	3.22E-05	0	3.20E-07	3.02E-05	0	0	9.63E-07	0.000035362	5.94E-07	1.74E-06	0	0
PWY.7948._4.oxopentanoate_degradation	1.95E-07	0	0	8.72E-07	4.51E-07	0	2.08E-07	6.17E-07	0	0	0	0	0	0	0	1.22E-06	0	0	0	0	0	0	8.76E-07
TCA.GLYOX.BYPASS._superpathway_of_glyoxylate_bypass_and_TCA	6.27E-07	0.000362357	0.000388342	3.22E-06	1.80E-06	2.65E-06	1.15E-06	0	0.000374563	0	5.46E-05	0.000022244	1.03E-06	2.28E-06	0.000129781	0	0.000118832	0.000014096	0.000183689	0	9.36E-06	3.07E-06	0
PWY.5384._sucrose_degradation_IV_.sucrose_phosphorylase.	1.39E-06	0.000548549	0.000555483	3.83E-05	4.64E-06	2.84E-05	1.19E-06	1.03E-06	0.000511906	3.25E-06	6.96E-05	3.47E-05	8.02E-07	2.21E-05	0.000169285	0	0.000308732	4.47E-05	0.000269384	1.20E-05	0.000146545	0.000321675	0
PWY66.430._myristate_biosynthesis_.mitochondria.	0	0.000208682	0.000221644	3.78E-06	0	3.50E-06	0	0	3.76E-05	0	0	3.11E-06	6.04E-07	0	0.000102538	0	2.59E-05	1.09E-05	0.000024798	0	8.19E-07	0	0
GLUTORN.PWY._L.ornithine_biosynthesis_I	1.02E-05	0.000373766	0.000379468	3.14E-05	1.43E-05	7.52E-05	1.96E-06	3.39E-07	0.000457113	3.16E-06	0.000152852	7.96E-05	9.13E-07	3.34E-05	0.000233856	0	0.000457425	7.10E-05	0.000333108	6.65E-06	0.000216231	0.000314292	1.02E-06
PWY.8190._L.glutamate_degradation_XI_.reductive_Stickland_reaction.	0	0	0	0	0	0	3.27E-07	0	0	3.61E-07	7.80E-06	0	0	8.74E-07	1.82E-06	0	0	0	1.04E-06	0	0	0.000012034	0
GOLPDLCAT.PWY._superpathway_of_glycerol_degradation_to_1.3.propanediol	0	0.000530131	0.000546962	7.72E-06	0	7.92E-07	6.14E-07	0	0	2.01E-07	5.53E-06	3.37E-06	0	1.77E-05	6.84E-05	0	0.000084149	3.56E-06	4.68E-05	6.44E-07	1.42E-06	4.42E-05	7.55E-07
PWY.7385._1.3.propanediol_biosynthesis_.engineered.	5.60E-07	8.20E-05	8.99E-05	1.59E-06	3.91E-07	0	5.46E-07	4.53E-07	0	6.88E-07	9.09E-06	0.000005766	8.30E-07	1.18E-06	9.96E-05	0	4.38E-06	5.68E-06	0.000113771	1.06E-06	1.04E-06	0	1.54E-06
PWY.6527._stachyose_degradation	2.36E-06	0.000353545	0.000379591	4.73E-05	4.36E-06	2.31E-05	1.11E-06	7.38E-07	0.000349527	5.98E-06	0.000123622	0.000049049	1.76E-06	3.54E-05	0.000211415	0	0.00016892	0.000115241	0.000403913	7.43E-06	0.000115289	0.000340852	0
DENITRIFICATION.PWY._nitrate_reduction_I_.denitrification.	0	1.21E-07	1.05E-07	9.89E-07	0	0	0	0	0	0	0	0	0	0	6.75E-06	0	1.72E-07	0	1.80E-06	0	1.07E-06	8.84E-06	0
PWY.5838._superpathway_of_menaquinol.8_biosynthesis_I	4.31E-06	0.000283214	0.000296585	2.72E-05	0	5.52E-06	1.43E-06	8.04E-07	0.000387377	0	0.000115866	3.40E-05	4.84E-07	2.93E-05	0.000136277	0	0.000294068	1.69E-05	0.000219138	1.99E-06	0.000183811	8.19E-05	0
TCA._TCA_cycle_I_.prokaryotic.	1.13E-06	0.000366534	0.000398305	6.38E-06	2.06E-06	2.29E-06	1.10E-06	4.15E-07	0.0003307	0	0.000101733	0.000025871	1.04E-06	1.80E-06	0.000117304	0	9.96E-05	1.24E-05	0.00018069	0	3.00E-05	4.88E-05	0
PWY.7456._.beta...1.4..mannan_degradation	6.06E-06	0	0	6.93E-06	3.01E-06	1.10E-05	1.89E-06	0	0	2.42E-06	0.000166081	2.51E-05	0	3.59E-06	4.91E-05	0	0	2.80E-05	4.71E-05	0	0	0	0
HOMOSER.METSYN.PWY._L.methionine_biosynthesis_I	0	0.000341554	0.000353867	9.36E-06	0	0	1.21E-06	6.81E-07	0.000479165	7.37E-07	2.76E-05	1.62E-05	4.94E-07	3.60E-05	0.000145745	0	0.000156227	2.11E-05	0.000137453	3.84E-06	0.000247925	0.000130963	9.72E-07
METHGLYUT.PWY._superpathway_of_methylglyoxal_degradation	0	4.50E-05	4.88E-05	6.37E-06	0	0	0	0	6.01E-05	2.33E-07	4.75E-05	1.16E-05	0	1.85E-05	6.39E-05	0	8.78E-05	8.58E-06	7.06E-05	0	7.93E-05	1.81E-05	0
PWY.6168._flavin_biosynthesis_III_.fungi.	5.53E-06	0.000102196	0.000110823	2.40E-05	3.96E-06	4.19E-06	3.50E-06	0	0.000164894	0	0.000303242	3.36E-05	0	4.51E-06	0.000117281	0	0	3.85E-05	0.000228497	0	5.74E-06	0	0
PWY.5188._tetrapyrrole_biosynthesis_I_.from_glutamate.	4.53E-07	0.00027787	0.000291473	0.00005589	3.54E-05	0.000185386	2.61E-06	7.13E-06	0.000401266	5.04E-06	0.000117791	3.35E-05	5.56E-07	2.59E-05	0.000159382	0	0.000325533	7.39E-05	0.00044576	5.40E-06	0.000157925	0.000294063	6.29E-07
FAO.PWY._fatty_acid_.beta..oxidation_I_.generic.	7.83E-07	0.000421199	0.000432231	5.55E-06	1.36E-06	0	2.22E-06	7.78E-07	0.000547061	9.60E-07	6.04E-05	1.90E-05	1.53E-06	5.94E-05	0.000191289	3.27E-06	0.000784439	2.59E-05	0.00033396	1.39E-06	0.000462663	0	2.87E-06
HEME.BIOSYNTHESIS.II.1._heme_b_biosynthesis_V_.aerobic.	2.35E-07	0.000262178	0.000281945	9.74E-06	0	3.53E-07	1.27E-06	7.10E-06	0.000419595	1.04E-06	5.69E-05	1.45E-05	6.60E-07	2.74E-05	0.000117297	0	0.000284626	1.27E-05	0.000262504	4.07E-06	0.000180314	8.55E-05	8.19E-07
PWY.5497._purine_nucleobases_degradation_II_.anaerobic.	1.15E-06	0.000094294	0.000104295	1.51E-05	0	0	9.08E-07	0	4.81E-05	0	2.43E-05	1.61E-05	0	2.19E-06	5.14E-05	0	5.96E-05	5.00E-06	0.000177234	0	5.82E-06	4.71E-06	0
PWY.5972._stearate_biosynthesis_I_.animals.	3.17E-06	0	0	3.57E-06	1.75E-06	0	1.32E-06	1.92E-06	0	2.01E-06	8.66E-06	2.33E-06	2.19E-06	2.71E-06	1.62E-06	3.35E-06	7.72E-07	1.33E-06	0	9.84E-07	1.35E-06	1.80E-07	2.63E-06
GLUCUROCAT.PWY._superpathway_of_.beta..D.glucuronosides_degradation	3.03E-06	4.18E-05	4.62E-05	4.26E-06	2.45E-06	1.04E-05	1.05E-06	0	0.000174722	4.31E-07	7.38E-05	2.95E-05	2.50E-07	1.91E-05	9.09E-05	0	0.000266217	1.59E-05	0.000137031	0	6.25E-06	1.05E-05	8.11E-07
PWY.7858._.5Z..dodecenoate_biosynthesis_II	0	0.00025283	0.000271003	1.29E-05	0	1.39E-06	4.33E-07	7.46E-06	0.000205949	1.07E-06	3.65E-05	1.52E-05	4.01E-07	3.63E-05	0.00010089	0	0.000322042	9.62E-06	0.000135083	4.30E-06	0.000208199	0.000164487	8.82E-07
PWY.6606._guanosine_nucleotides_degradation_II	2.96E-06	0.000148629	0.000172918	1.19E-05	6.87E-06	2.52E-05	2.46E-06	5.63E-07	0.00037252	1.00E-06	6.93E-05	2.45E-05	6.08E-07	2.46E-06	0.000150289	0	0.000613529	6.47E-05	0.000210462	3.34E-07	7.56E-06	4.03E-05	0
PWY0.1479._tRNA_processing	0	0.000379581	0.000385706	1.52E-05	0	0.000002839	1.40E-06	7.74E-06	0.000242131	2.09E-06	9.74E-05	2.90E-05	1.61E-06	3.11E-05	0.000164169	0	0.000306067	3.35E-05	0.000315257	6.53E-06	0.000204294	0.000105608	0
PWY.5861._superpathway_of_demethylmenaquinol.8_biosynthesis_I	3.09E-06	0.000307986	0.000327579	2.13E-05	0	3.69E-06	1.04E-06	1.72E-06	0.00036865	0	8.35E-05	2.56E-05	4.08E-07	2.88E-05	0.000122574	0	0.000301201	1.28E-05	0.000191998	1.85E-06	0.000200088	6.07E-05	0
P4.PWY._superpathway_of_L.lysine._L.threonine_and_L.methionine_biosynthesis_I	0	0.000344071	0.000359577	1.37E-05	0	0	1.50E-06	0	0.000373517	1.32E-06	5.02E-05	2.86E-05	5.42E-07	3.72E-05	0.000167304	0	0.000290883	2.45E-05	0.000212866	5.86E-06	0.00025243	1.94E-05	0
PPGPPMET.PWY._ppGpp_metabolism	1.53E-06	0.000208191	0.000217899	7.29E-06	3.04E-05	0.000160281	2.57E-06	8.67E-06	0.000177356	2.57E-06	0.000169322	1.31E-05	1.76E-07	3.21E-05	7.52E-05	0	0.000357422	7.57E-06	8.07E-05	2.21E-06	0.000194153	7.97E-05	1.33E-06
PRPP.PWY._superpathway_of_histidine._purine._and_pyrimidine_biosynthesis	0	0.000163386	0.000170198	1.18E-05	0	0	2.53E-06	1.59E-06	7.77E-05	1.80E-06	9.77E-05	1.35E-05	0	3.14E-05	0.000111748	0	0.000236182	1.14E-05	0.000211177	3.02E-06	7.78E-06	5.47E-05	0
ASPASN.PWY._superpathway_of_L.aspartate_and_L.asparagine_biosynthesis	8.16E-06	0.000562799	0.000584494	4.29E-05	6.14E-05	0.000342137	3.93E-06	8.56E-06	0.000572859	5.25E-06	0.000220503	9.05E-05	1.99E-06	3.70E-05	0.000215059	0	0.000637041	3.51E-05	0.00036591	1.28E-05	0.000306807	0.000348418	2.40E-06
POLYAMSYN.PWY._superpathway_of_polyamine_biosynthesis_I	5.46E-07	0.0002921	0.000319799	1.49E-05	2.94E-06	1.82E-05	6.51E-07	0	0.000383914	1.51E-06	4.35E-05	2.63E-05	9.09E-07	1.39E-05	0.000130413	0	0.00010792	4.38E-05	0.000278707	1.24E-06	2.49E-06	4.39E-07	0
PWY.6284._superpathway_of_unsaturated_fatty_acids_biosynthesis_.E._coli.	0	9.02E-05	0.000117177	1.11E-05	0	2.36E-06	1.75E-06	0	0.000222691	0	3.57E-05	2.62E-05	5.68E-07	4.19E-05	0.000126222	0	4.29E-05	1.22E-05	0.000158716	7.32E-06	1.14E-05	0.000186284	9.23E-07
ANAEROFRUCAT.PWY._homolactic_fermentation	1.04E-05	0.000348061	0.000358305	5.95E-05	4.97E-05	0.000211531	4.95E-06	2.44E-06	0.000418745	6.75E-06	0.000232298	6.34E-05	1.86E-06	3.02E-05	0.000172286	0	0.000290245	6.25E-05	0.000286633	1.18E-05	0.000157479	0.000471356	3.24E-06
PWY.6901._superpathway_of_glucose_and_xylose_degradation	8.42E-06	0.000462391	0.00048314	3.52E-05	1.75E-05	6.17E-05	3.46E-06	1.64E-06	0.000489787	3.60E-06	0.000204047	6.00E-05	1.83E-06	3.12E-05	0.000195267	0	0.000365592	5.16E-05	0.000272294	8.48E-06	4.14E-05	4.34E-05	2.17E-06
PWY0.1586._peptidoglycan_maturation_.meso.diaminopimelate_containing.	9.60E-06	0.00127181	0.00134938	9.26E-05	9.94E-05	0.000546489	7.04E-06	2.05E-05	0.00154656	1.20E-05	0.000433306	0.000142422	2.99E-06	0.000106098	0.00060918	0	0.00131718	0.000145687	0.000872969	2.40E-05	0.000655646	0.00103347	2.21E-06
NONOXIPENT.PWY._pentose_phosphate_pathway_.non.oxidative_branch._I	7.71E-06	0.00123258	0.00126264	4.27E-05	6.81E-05	0.000368351	5.73E-06	0.000010053	0.00101745	5.74E-06	0.000553604	7.66E-05	2.54E-06	5.07E-05	0.000397748	0	0.000658171	0.000245478	0.000567896	1.22E-05	0.00016887	0.000417692	2.52E-06
PANTO.PWY._phosphopantothenate_biosynthesis_I	1.69E-05	0.000310275	0.000315483	3.11E-05	7.14E-05	0.00039732	3.85E-06	0	0.000345362	5.10E-06	0.000472773	9.83E-05	1.13E-06	3.55E-05	0.000187597	0	0.000370439	6.67E-05	0.000231203	2.73E-06	0.000189857	0.000131211	6.92E-07
P221.PWY._octane_oxidation	0	0.000213037	0.000229811	2.21E-06	0	4.76E-07	2.72E-08	0	9.10E-06	4.09E-07	3.63E-06	1.75E-06	0	2.52E-08	0.000035003	0	0.00029976	6.65E-06	0.000013033	0	7.89E-08	1.73E-05	0
PWY.5154._L.arginine_biosynthesis_III_.via_N.acetyl.L.citrulline.	1.14E-05	0.000401104	0.000405737	1.68E-05	3.37E-06	1.73E-05	1.89E-06	4.70E-07	0.000493173	2.82E-06	0.00013236	8.07E-05	7.70E-07	0.000029516	0.000220713	0	0.000462547	6.39E-05	0.000287458	8.12E-06	0.000213125	0.000244076	1.28E-06
PWY.7220._adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	1.43E-05	0.000297558	0.000298458	9.40E-05	2.94E-05	0.000157665	4.41E-06	1.07E-05	0.000258597	7.28E-06	0.000213215	5.86E-05	3.46E-06	0.000039303	0.000183801	1.91E-06	0.000330292	7.79E-05	0.000149135	1.21E-05	0.000273007	0.000543483	2.80E-06
PWY.7222._guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	1.43E-05	0.000297558	0.000298458	9.40E-05	2.94E-05	0.000157665	4.41E-06	1.07E-05	0.000258597	7.28E-06	0.000213215	5.86E-05	3.46E-06	0.000039303	0.000183801	1.91E-06	0.000330292	7.79E-05	0.000149135	1.21E-05	0.000273007	0.000543483	2.80E-06
P108.PWY._pyruvate_fermentation_to_propanoate_I	0	0.000167161	0.000172313	3.22E-06	7.30E-06	0.000031378	9.03E-07	0	0	8.43E-07	4.34E-05	8.15E-06	2.38E-07	2.40E-06	6.66E-05	0	0.000128263	0	5.18E-05	0	5.35E-06	2.19E-06	1.17E-06
PWY.8131._5..deoxyadenosine_degradation_II	0	0.000257379	0.000260059	1.07E-06	1.44E-06	8.59E-06	0	0	0	0	1.38E-05	2.77E-06	0	1.26E-05	3.90E-05	0	9.55E-05	0	4.96E-05	0	0.000158579	8.29E-06	0
KETOGLUCONMET.PWY._ketogluconate_metabolism	1.05E-07	7.32E-05	7.54E-05	2.23E-06	2.57E-06	9.90E-06	6.51E-07	0	9.95E-05	5.27E-07	9.69E-06	5.63E-06	2.94E-07	2.47E-05	0.00006445	0	0.000420552	6.67E-06	0.000141951	0	0	8.37E-06	0
PWY.7345._superpathway_of_anaerobic_sucrose_degradation	5.62E-06	0.00038734	0.000407399	5.77E-05	1.41E-05	6.24E-05	3.05E-06	0	0.000464133	5.50E-06	0.000157719	5.83E-05	1.83E-06	2.98E-05	0.00019725	0	0.000325668	4.94E-05	0.000292046	0.000011023	5.88E-05	0.000436786	0
PWY.5837._2.carboxy.1.4.naphthoquinol_biosynthesis	1.57E-06	0.000294104	0.000313906	4.42E-05	0	1.64E-06	1.53E-06	6.16E-06	0.000312158	7.82E-07	4.47E-05	1.37E-05	6.97E-07	2.59E-05	0.000117629	0	0.000261887	1.06E-05	0.000173111	2.87E-06	0.000229139	0.000234136	0
PWY.4041._.gamma..glutamyl_cycle	1.29E-06	0.000330589	0.00035443	3.17E-05	1.69E-05	9.74E-05	2.72E-06	8.35E-06	0.000621666	5.42E-06	0.000132044	3.20E-05	8.71E-07	0.000039396	0.000177637	0	0.000135105	0.000048109	0.000211467	1.59E-05	0.000303513	0.000498479	8.14E-07
CALVIN.PWY._Calvin.Benson.Bassham_cycle	1.23E-05	0.000636116	0.000664355	5.18E-05	9.25E-05	0.00051381	7.45E-06	1.07E-05	0.000637543	7.18E-06	0.000563472	0.00011049	3.15E-06	4.62E-05	0.000316726	0	0.000413565	0.000103549	0.000452059	9.83E-06	0.000222402	0.000404144	4.81E-06
DARABCATK12.PWY._D.arabinose_degradation_I	0	3.93E-05	5.61E-05	4.76E-07	0	0	3.49E-07	0	4.35E-05	0	7.91E-06	3.15E-06	8.10E-08	2.02E-05	2.95E-05	0	2.85E-06	4.35E-06	3.83E-05	0	2.07E-07	4.74E-06	0
KDO.NAGLIPASYN.PWY._superpathway_of_.Kdo.2.lipid_A_biosynthesis	0	2.29E-05	2.57E-05	2.75E-06	0	0	4.86E-07	0	6.88E-05	0	5.62E-06	3.30E-06	0	1.46E-05	4.50E-05	0	0	3.79E-06	5.84E-05	0	0	0	0
PWY.621._sucrose_degradation_III_.sucrose_invertase.	4.35E-06	0.000420915	0.000424856	3.30E-05	4.66E-06	2.85E-05	1.20E-06	9.78E-07	0.000444582	4.57E-06	7.83E-05	3.72E-05	6.16E-07	1.95E-05	0.00010979	0	0.000254479	5.92E-05	0.00018371	1.07E-05	0.000168896	0.000288034	0
PWY.7111._pyruvate_fermentation_to_isobutanol_.engineered.	3.38E-06	0.000526702	0.000547807	0.00010297	1.65E-05	0.000079599	2.87E-06	6.49E-06	0.000806542	3.74E-06	0.000191548	0.000100772	2.32E-06	0.000042481	0.000337906	0	0.000424984	6.54E-05	0.000566162	0.0000262	0.000452207	0.000805229	1.73E-06
PWY0.1296._purine_ribonucleosides_degradation	5.16E-06	0.000312386	0.000323576	6.33E-05	1.63E-05	7.27E-05	1.85E-06	1.26E-06	0.000558919	5.70E-06	0.000185146	7.80E-05	1.55E-06	0.00003857	0.000185885	3.44E-06	0.000614157	0.000152936	0.000433637	2.03E-05	0.00037996	0.000718676	2.98E-06
PWY.6572._chondroitin_sulfate_degradation_I_.bacterial.	0	0	0	2.56E-06	3.10E-07	1.15E-06	2.69E-07	0	0	0	1.80E-05	3.49E-06	0	0	1.04E-06	0	0	0	5.77E-07	0	0	0	0
PWY.7094._fatty_acid_salvage	0	0.000013601	1.51E-05	6.39E-07	0	0	9.10E-07	0	0.000210786	5.73E-07	2.92E-05	6.48E-06	1.52E-07	2.85E-05	3.67E-05	0	0.000110938	4.13E-06	9.10E-05	0	0	0	0
PWY.6351._D.myo.inositol_.1.4.5..trisphosphate_biosynthesis	4.77E-07	0	0	5.40E-07	0	0	0	0	0	3.34E-07	0	0	0	2.34E-07	1.34E-07	1.56E-06	0	0	0	3.98E-07	0	0	0
PWY1ZNC.1._assimilatory_sulfate_reduction_IV	0	0.000280493	0.000307288	6.36E-06	1.58E-06	8.45E-06	8.80E-07	5.81E-07	0.000285126	1.58E-06	2.58E-05	0.000012177	0	2.78E-05	0.000103093	0	0.000332117	1.24E-05	0.000110791	6.92E-07	1.19E-06	2.38E-06	0
PWY4FS.8._phosphatidylglycerol_biosynthesis_II_.non.plastidic.	3.50E-06	0.000373695	0.00041076	4.96E-05	4.36E-05	0.000214892	3.31E-06	1.04E-05	0.000404186	3.23E-06	0.000150392	5.64E-05	1.77E-06	2.90E-05	0.00017756	0	0.000384966	6.63E-05	0.000354869	1.35E-05	0.000199318	0.000391428	2.36E-06
PWY4FS.7._phosphatidylglycerol_biosynthesis_I_.plastidic.	3.50E-06	0.000373695	0.00041076	4.96E-05	4.36E-05	0.000214892	3.31E-06	1.04E-05	0.000404186	3.23E-06	0.000150392	5.64E-05	1.77E-06	2.90E-05	0.000177575	0	0.000384966	6.63E-05	0.000354869	1.36E-05	0.000199318	0.000410551	2.36E-06
PWY.7560._methylerythritol_phosphate_pathway_II	7.01E-06	0.000317971	0.000333978	4.89E-05	4.27E-05	0.000228058	4.72E-06	3.56E-06	0.000355874	6.22E-06	0.000361352	7.78E-05	1.64E-06	2.84E-05	0.000174045	0	0.000357142	7.61E-05	0.000307196	5.80E-06	0.00016855	0.000294477	0
NAGLIPASYN.PWY._lipid_IVA_biosynthesis_.E._coli.	4.16E-06	0.000290799	0.000320448	1.58E-05	4.62E-05	0.000249476	3.33E-06	7.26E-06	0.000346666	1.76E-06	9.65E-05	3.53E-05	5.96E-07	2.45E-05	0.000140505	0	0.000289739	1.27E-05	0.000202498	2.42E-06	0.00017094	9.02E-05	5.41E-07
PWY.8073._lipid_IVA_biosynthesis_.P._putida.	4.16E-06	0.000290799	0.000320448	1.58E-05	4.62E-05	0.000249476	3.33E-06	7.26E-06	0.000346666	1.76E-06	9.65E-05	3.53E-05	5.96E-07	2.45E-05	0.000140505	0	0.000289739	1.27E-05	0.000202498	2.42E-06	0.00017094	9.02E-05	5.41E-07
MET.SAM.PWY._superpathway_of_S.adenosyl.L.methionine_biosynthesis	0	0.000410568	0.000425167	1.60E-05	0	0	1.97E-06	1.26E-06	0.000513591	1.34E-06	5.12E-05	2.77E-05	3.49E-07	4.02E-05	0.000192054	0	0.000233733	3.35E-05	0.000219496	5.06E-06	0.000294678	0.000177072	1.28E-06
PHOSLIPSYN.PWY._superpathway_of_phospholipid_biosynthesis_I_.bacteria.	6.07E-06	0.000387059	0.000421419	4.46E-05	5.52E-05	0.000276349	3.88E-06	1.08E-05	0.000416866	4.53E-06	0.000243072	7.70E-05	2.27E-06	3.26E-05	0.000209857	0	0.000402625	8.32E-05	0.00038416	8.73E-06	0.000216365	0.000372061	1.37E-06
METSYN.PWY._superpathway_of_L.homoserine_and_L.methionine_biosynthesis	0	0.000416454	0.000431051	1.51E-05	0	0	1.83E-06	1.13E-06	0.000562535	1.21E-06	4.60E-05	0.000025723	3.13E-07	4.23E-05	0.000191485	0	0.000231668	3.17E-05	0.000201778	5.92E-06	0.000337318	0.00019767	1.36E-06
CARNMET.PWY._L.carnitine_degradation_I	0	4.85E-06	5.85E-06	0	0	0	4.82E-07	0	1.79E-05	0	6.72E-06	7.28E-07	0	1.28E-05	2.20E-05	0	0	0	2.80E-05	0	0	0	0
SALVADEHYPOX.PWY._adenosine_nucleotides_degradation_II	3.33E-06	0.000145244	0.000163932	1.42E-05	0	0	3.42E-06	5.35E-07	0.000714729	1.77E-06	0.000105138	5.88E-05	2.34E-06	3.49E-06	0.000214436	0	0.000610156	9.45E-05	0.000351849	4.69E-07	9.38E-06	2.11E-06	0
PWY.801._homocysteine_and_cysteine_interconversion	0	5.57E-05	5.43E-05	1.61E-06	0	0	9.58E-08	0	0	0	1.29E-05	5.52E-06	0	5.15E-07	3.21E-05	0	4.05E-06	1.34E-05	2.22E-05	0	2.04E-06	3.63E-06	0
PWY0.461._L.lysine_degradation_I	0	7.71E-06	8.12E-06	3.22E-07	0	0	4.99E-07	0	2.32E-05	0	2.18E-05	2.46E-06	0	0.000012541	0.000019969	0	0	1.47E-06	3.41E-05	0	0	0	0
PWY0.1261._anhydromuropeptides_recycling_I	1.33E-06	0.000295357	0.000309688	1.51E-05	1.63E-06	7.75E-06	1.60E-06	6.87E-06	0.000298911	1.43E-06	0.00012771	3.25E-05	5.86E-07	3.70E-05	0.000133021	0	0.000295403	7.56E-05	0.000177556	4.36E-06	0.000269833	0.000119065	0
PWY.5347._superpathway_of_L.methionine_biosynthesis_.transsulfuration.	0	0.000447078	0.000463222	1.65E-05	0	0	1.96E-06	1.27E-06	0.00056112	0.00000132	0.000050917	0.000028385	3.49E-07	4.31E-05	0.000197706	0	0.000258675	2.98E-05	0.000212828	6.50E-06	0.00033284	0.000214396	1.48E-06
PWY.5484._glycolysis_II_.from_fructose_6.phosphate.	1.19E-05	0.000374562	0.0003956	6.32E-05	6.38E-05	0.000345464	5.14E-06	1.04E-05	0.000459637	6.54E-06	0.000237235	6.85E-05	2.26E-06	3.29E-05	0.000212423	0	0.000311295	5.37E-05	0.000320258	1.07E-05	0.000207383	0.000466241	3.27E-06
PWY.6368._3.phosphoinositide_degradation	3.81E-07	0	0	0	3.60E-07	0	0	4.78E-07	0	2.35E-07	0	0	1.99E-07	1.23E-07	4.48E-08	2.02E-06	0	2.21E-07	0	0	0	0	1.34E-06
PWY0.1241._ADP.L.glycero..beta..D.manno.heptose_biosynthesis	7.86E-07	0.000195056	0.000200369	3.98E-05	2.02E-06	1.17E-05	7.03E-07	6.14E-06	0.000201915	2.13E-07	3.06E-05	1.32E-05	2.78E-07	2.66E-05	8.94E-05	0	0.000267684	7.55E-06	0.000153173	2.91E-06	0.000180504	0.000205222	2.76E-07
PENTOSE.P.PWY._pentose_phosphate_pathway	8.05E-06	0.000620155	0.000665391	3.79E-05	0.000039267	0.000208251	3.79E-06	9.78E-06	0.000586509	4.24E-06	0.000246354	5.75E-05	1.57E-06	0.000033083	0.000225836	0	0.000420473	4.34E-05	0.000262672	1.28E-05	0.000184011	0.000384828	1.80E-06
GLUCONEO.PWY._gluconeogenesis_I	9.97E-06	0.000366414	0.000382566	4.20E-05	5.47E-05	0.000305152	4.94E-06	9.64E-06	0.000416994	5.03E-06	0.000286258	7.43E-05	1.55E-06	3.23E-05	0.000191766	0	0.000337068	0.00003491	0.000264049	8.81E-06	0.000208695	0.000293753	3.09E-06
DAPLYSINESYN.PWY._L.lysine_biosynthesis_I	4.79E-06	0.000355134	0.000369688	1.95E-05	1.27E-05	5.90E-05	2.28E-06	8.06E-06	0.000409597	2.07E-06	0.000109952	4.67E-05	9.82E-07	3.71E-05	0.000184917	0	0.000363639	3.61E-05	0.000284797	9.01E-06	0.000257203	0.000198974	7.88E-07
PWY.5656._mannosylglycerate_biosynthesis_I	0	3.44E-05	3.73E-05	8.14E-07	0	0	8.30E-08	0	0.000189832	0	2.37E-05	9.54E-06	4.67E-07	1.81E-07	3.43E-05	0	3.26E-06	1.06E-05	5.93E-05	0	2.01E-07	0	0
RHAMCAT.PWY._L.rhamnose_degradation_I	1.03E-05	0.000344674	0.000349137	1.36E-05	1.39E-06	6.50E-06	1.37E-06	0	0.000380214	8.41E-07	0.000113851	4.78E-05	8.66E-07	3.52E-05	0.000179315	0	0.0003115	3.76E-05	0.000212166	0	3.70E-07	8.94E-06	7.84E-07
PWY.5345._superpathway_of_L.methionine_biosynthesis_.by_sulfhydrylation.	0	1.20E-05	2.03E-06	2.30E-05	3.56E-06	1.34E-05	2.37E-06	1.52E-06	0	2.62E-06	0.00012445	5.47E-05	0	1.63E-05	0.00015029	0	6.38E-07	1.82E-05	0.00018648	3.45E-06	1.42E-05	9.08E-05	0
PWY.6936._seleno.amino_acid_biosynthesis_.plants.	6.81E-07	0.000416504	0.000407851	9.85E-05	0.000015434	7.59E-05	2.84E-06	1.09E-05	0.000533238	0.000004394	0.000158558	5.20E-05	7.43E-07	3.79E-05	0.000255474	0	0.000317644	7.66E-05	0.000415897	2.13E-05	0.000349547	0.000724491	9.96E-07
AST.PWY._L.arginine_degradation_II_.AST_pathway.	0	0.000388595	0.000412504	1.53E-06	0	0	4.24E-07	0	0.000228599	2.70E-07	2.62E-05	6.15E-06	0	1.72E-05	7.88E-05	0	9.16E-05	8.31E-06	9.33E-05	0	8.80E-07	0	4.17E-07
FUC.RHAMCAT.PWY._superpathway_of_fucose_and_rhamnose_degradation	7.94E-07	0.00031463	0.000327674	7.98E-06	0	0	1.08E-06	0	0.000332964	6.02E-07	7.28E-05	2.79E-05	6.33E-07	2.67E-05	0.000142508	0	0.000316899	1.78E-05	0.000167262	0	3.18E-07	0.000011955	0
GLYCOLYSIS._glycolysis_I_.from_glucose_6.phosphate.	1.21E-05	0.000416074	0.000439992	6.68E-05	6.64E-05	0.000361146	5.45E-06	9.96E-06	0.000492186	6.93E-06	0.000247322	7.03E-05	1.80E-06	3.28E-05	0.000228708	0	0.000315267	0.000062322	0.000354383	1.32E-05	0.000229862	0.000561071	3.22E-06
PWY0.781._aspartate_superpathway	0	0.000178713	0.000195609	1.41E-05	0	0	1.55E-06	0	0.000360037	1.38E-06	5.25E-05	2.95E-05	0	2.16E-05	0.000151812	0	0.00025741	2.53E-05	0.000211993	4.57E-06	4.95E-05	2.04E-05	0
